"MEAN_MOTION","ECCENTRICITY","INCLINATION","RA_OF_ASC_NODE","ARG_OF_PERICENTER","MEAN_ANOMALY","SEMIMAJOR_AXIS","PERIOD","APOAPSIS","PERIAPSIS","OBJECT_TYPE","RCS_SIZE","OBJECT_AGE","CENT_FOCUS_DIST"
12.7246214,0.0369277,99.7126,62.0388,112.2992,6.7788,7750.064,113.166,1658.121,1085.736,"DEBRIS","SMALL",49,286.1920383728
12.85021682,0.0514563,99.9121,69.8799,320.0833,98.4937,7699.483,112.06,1717.534,925.161,"DEBRIS","SMALL",49,396.1869070929
13.7187804,0.0042068,99.6999,234.1804,343.6907,134.7671,7370.973,104.966,1023.847,961.83,"DEBRIS","SMALL",49,31.0082092164
13.21802288,0.0117848,99.7729,250.2922,108.8411,18.2103,7555.981,108.942,1266.891,1088.8,"DEBRIS","SMALL",49,89.0457248888
13.59948933,0.0048557,99.7712,208.1187,25.2221,95.5619,7414.015,105.886,1071.88,999.879,"DEBRIS","SMALL",49,36.0002326355
12.64859368,0.044006,99.1694,169.2073,323.761,46.9132,7781.088,113.847,1745.368,1060.539,"DEBRIS","SMALL",49,342.414558528
13.12003621,0.0172108,99.7607,91.7787,247.8717,291.116,7593.555,109.756,1346.111,1084.729,"DEBRIS","SMALL",49,130.691156394
13.26947469,0.0089754,99.8534,25.7662,244.8861,126.0726,7536.436,108.52,1225.944,1090.659,"DEBRIS","SMALL",49,67.6425276744
14.09505125,0.0014808,81.2801,51.9869,71.8747,288.4035,7239.203,102.164,871.787,850.348,"DEBRIS","SMALL",49,10.7198118024
7.4239352,0.4055093,34.8469,235.8757,5.5156,357.8848,11099.729,193.967,9222.638,220.551,"DEBRIS","SMALL",32,4501.0433369797
14.28238381,0.0101495,98.6123,274.0938,243.1849,115.8925,7175.762,100.824,870.458,724.797,"DEBRIS","SMALL",46,72.830396419
13.90919929,0.003277,64.9639,64.0625,73.9769,6.9515,7303.546,103.529,949.344,901.477,"DEBRIS","SMALL",43,23.933720242
3.89999278,0.5776748,63.2797,265.8172,15.3189,356.5806,17048.754,369.231,20519.254,821.983,"DEBRIS","SMALL",39,9848.6355571992
13.48391718,0.0053526,100.3465,127.0163,302.9242,69.8008,7456.319,106.794,1118.094,1038.273,"DEBRIS","SMALL",58,39.9106930794
7.21996208,0.4162971,34.9591,338.1274,33.9441,346.8526,11307.812,199.447,9637.086,222.267,"DEBRIS","SMALL",31,4707.4093429452
14.32372833,0.0009612,71,342.1058,342.2843,192.4746,7161.947,100.532,790.696,776.928,"DEBRIS","SMALL",31,6.8840634564
14.47925178,0.0092353,71.1117,170.0689,310.9606,61.262,7110.57,99.453,798.103,666.767,"DEBRIS","SMALL",32,65.668247121
12.42326151,0.002798,73.5985,138.6665,137.2231,282.0502,7874.895,115.912,1518.794,1474.726,"DEBRIS","SMALL",37,22.03395621
13.75140398,0.0013319,99.3303,90.8913,60.5178,299.7299,7359.311,104.717,990.978,971.374,"DEBRIS","SMALL",23,9.8018663209
2.32908906,0.7135178,8.3919,326.8033,324.0762,4.4337,24040.552,618.267,34815.78,509.055,"DEBRIS","SMALL",35,17153.3617738256
15.86902955,0.0007725,97.5571,151.9199,175.0413,185.0936,6689.109,90.743,316.141,305.806,"DEBRIS","SMALL",23,5.1673367025
15.13487809,0.0032172,97.7681,343.7243,175.2645,184.8896,6903.71,95.144,547.786,503.365,"DEBRIS","SMALL",23,22.210615812
15.2428735,0.0036049,97.1787,320.5127,104.3806,256.1438,6871.063,94.47,517.698,468.159,"DEBRIS","SMALL",23,24.7694950087
14.64381114,0.0045711,97.4108,46.4725,98.9012,261.7372,7057.2,98.335,711.324,646.806,"DEBRIS","SMALL",23,32.25916692
15.16593324,0.0050057,97.7147,88.364,113.6535,246.9963,6894.283,94.95,550.658,481.637,"DEBRIS","SMALL",23,34.5107124131
14.91889008,0.0037654,97.9537,320.6008,187.2748,347.1088,6970.183,96.522,618.293,565.802,"DEBRIS","SMALL",23,26.2455270682
15.09091268,0.0046309,97.8157,314.6699,147.7697,282.8508,6917.112,95.422,571.01,506.945,"DEBRIS","SMALL",23,32.0324539608
14.6367375,0.0044428,97.6109,323.6336,229.8657,129.8651,7059.474,98.383,712.702,649.975,"DEBRIS","SMALL",23,31.3638310872
14.89637523,0.0040963,98.0917,318.1427,180.913,299.264,6977.204,96.668,627.65,570.489,"DEBRIS","SMALL",23,28.5807207452
14.10314977,0.0287836,97.3812,256.4527,133.5427,229.0049,7236.431,102.105,1066.587,650.006,"DEBRIS","SMALL",23,208.2905353316
14.7825019,0.005079,98.242,320.2113,19.6946,101.4708,7012.99,97.412,670.474,599.236,"DEBRIS","SMALL",23,35.61897621
15.13992822,0.0015797,97.4381,324.3404,175.7381,311.485,6902.175,95.113,534.943,513.137,"DEBRIS","SMALL",23,10.9033658475
15.20197335,0.0028067,97.7686,26.1816,332.4637,27.5109,6883.382,94.725,524.566,485.927,"DEBRIS","SMALL",23,19.3195882594
14.83781727,0.0035987,98.163,326.8146,176.9974,183.1462,6995.549,97.049,642.589,592.24,"DEBRIS","SMALL",23,25.1748821863
