"MEAN_MOTION","ECCENTRICITY","INCLINATION","RA_OF_ASC_NODE","ARG_OF_PERICENTER","MEAN_ANOMALY","SEMIMAJOR_AXIS","PERIOD","APOAPSIS","PERIAPSIS","OBJECT_AGE","CENT_FOCUS_DIST","OBJECT_TYPE","RCS_SIZE"
0.837403139221126,0.00341847628978906,0.5734897444268,0.830931365344818,0.441414383008914,0.559282521027032,0.00463731720469781,0.00131810683183363,0.00271219166300108,0.0178092208619988,0.7,0.000178548025566786,"DEBRIS","SMALL"
0.900065603206144,0.00675079685684307,0.681099949648926,0.024171553716524,0.103807776895325,0.897719327146088,0.0026863272696674,0.000754172919929415,0.00164255810869827,0.0104987010945231,0.366666666666667,0.000336341268700176,"DEBRIS","SMALL"
0.89690928940002,0.00693325082594694,0.680720241685156,0.339083517364596,0.95880512814957,0.0766751551695927,0.00277918875198741,0.000780681634162435,0.00170074787994571,0.0108023777028281,0.366666666666667,0.000346242850507748,"DEBRIS","SMALL"
0.870732932785302,0.0085035586883198,0.691706182115962,0.952595083899642,0.525778115943116,0.8293663680273,0.00357068441506493,0.00100811080892043,0.00219776481479822,0.0133843944108435,0.85,0.000433129791185579,"DEBRIS","SMALL"
0.822142825013435,0.00544653519132478,0.6922401248264,0.382449515610454,0.933936086195493,0.147710229345144,0.00514943769880827,0.00146842683489617,0.00305606559626228,0.0193442442696149,0.766666666666667,0.000288092232353163,"DEBRIS","SMALL"
0.847759273645556,0.00722326012809004,0.688626328632055,0.473229320132164,0.967514737554715,0.453826368399545,0.00429847860307387,0.00121924492110578,0.00259685512596556,0.0161110171089354,0.766666666666667,0.000374456434016118,"DEBRIS","SMALL"
0.829840314269141,0.00715226246265378,0.690253055646237,0.926956095590501,0.995439768188216,0.333272033137663,0.00488917069690278,0.00139194139765325,0.00294134492911705,0.0181988189731843,0.766666666666667,0.000376055971586941,"DEBRIS","SMALL"
0.835976592364376,0.00492770609775208,0.689369145304347,0.26787071128905,0.581741794096756,0.455645928588235,0.0046845329792173,0.00133198492340268,0.00277278531349774,0.0177749731351765,0.766666666666667,0.00025776315036862,"DEBRIS","SMALL"
0.835181709432868,0.00468328242380903,0.689550353840791,0.650539703107033,0.954722142820038,0.3743635359027,0.00471089986053029,0.00133970363725288,0.00278285114396276,0.0179005011268409,0.766666666666667,0.000245121219940175,"DEBRIS","SMALL"
0.827859909420185,0.00540652237830811,0.690043490048746,0.578135613515178,0.0700421715881668,0.265453274666638,0.00495575062762279,0.00141143309929517,0.0029418945764385,0.0186670256902876,0.766666666666667,0.000284664583897412,"DEBRIS","SMALL"
